Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,ret,tre,Roster Position,
125853-228169,SG,Micah,Micah Peavy,Peavy,10.98108075,37,3800,DET@NO,NO,DET,,,,,,SG,
125853-157819,SF,Corey,Corey Kispert,Kispert,15.21666718,24,3800,ATL@MEM,ATL,MEM,,,,,,SF,
125853-20640,SG/PG,Jordan,Jordan Clarkson,Clarkson,14.54883664,43,3800,BKN@NY,NY,BKN,,,,,,PG/SG,
125853-80806,PG,Lonzo,Lonzo Ball,Ball,18.81333415,30,3800,CLE@CHA,CLE,CHA,,,,,,PG,
125853-213172,PF/SF,Nae'Qwan,Nae'Qwan Tomlin,Tomlin,15.01212103,33,3800,CLE@CHA,CLE,CHA,,,,,,SF/PF,
125853-203715,SG,Baylor,Baylor Scheierman,Scheierman,7.397297627,37,3800,IND@BOS,BOS,IND,,,,,,SG,
125853-188421,SG,Jordan,Jordan Hawkins,Hawkins,8.182856968,35,3700,DET@NO,NO,DET,,,,,,SG,
125853-203790,C,PJ,PJ Hall,Hall,10.72666626,15,3700,CLE@CHA,CHA,CLE,,,,,,C,
125853-203789,PG,Tyler,Tyler Kolek,Kolek,11.90263126,38,3700,BKN@NY,NY,BKN,,,,,,PG,
125853-111376,SF,John,John Konchar,Konchar,11.98800049,25,3700,ATL@MEM,MEM,ATL,,,,,,SF,
125853-161552,PF/C,Micah,Micah Potter,Potter,13.99230722,13,3700,IND@BOS,IND,BOS,,,,,,PF/C,
125853-171793,C,Karlo,Karlo Matkovic,Matkovic,12.33437538,32,3700,DET@NO,NO,DET,,,,,,C,
125853-110883,PF/SF,Dean,Dean Wade,Wade,15.59428537,35,3700,CLE@CHA,CLE,CHA,,,,,,SF/PF,
125853-157827,C,Isaiah,Isaiah Jackson,Jackson,18.40000079,31,3700,IND@BOS,IND,BOS,,,,,,C,
125853-157831,SG/PG,Tre,Tre Mann,Mann,14.53928593,28,3700,CLE@CHA,CHA,CLE,,,,,,PG/SG,
125853-171753,SG/SF,Tyrese,Tyrese Martin,Martin,15.80909128,33,3700,BKN@NY,BKN,NY,,,,,,SG/SF,
125853-67312,C,Thomas,Thomas Bryant,Bryant,9.745161487,31,3700,CLE@CHA,CLE,CHA,,,,,,C,
125853-84724,SG,Landry,Landry Shamet,Shamet,13.93888855,18,3700,BKN@NY,NY,BKN,,,,,,SG,
125853-188410,SG/PG,Ben,Ben Sheppard,Sheppard,14.77575776,33,3700,IND@BOS,IND,BOS,,,,,,PG/SG,
125853-66046,SG/PG,Luke,Luke Kennard,Kennard,14.78205128,39,3700,ATL@MEM,ATL,MEM,,,,,,PG/SG,
125853-20992,C,Larry,Larry Nance,Nance,10.30588217,17,3600,CLE@CHA,CLE,CHA,,,,,,C,
125853-213259,PF,Tolu,Tolu Smith,Smith,16.51999969,5,3600,DET@NO,DET,NO,,,,,,PF,
125853-188427,PG,Marcus,Marcus Sasser,Sasser,11.17272741,11,3600,DET@NO,DET,NO,,,,,,PG,
125853-228108,PG,Ben,Ben Saraf,Saraf,12.40000025,12,3600,BKN@NY,BKN,NY,,,,,,PG,
125853-228116,PF,Asa,Asa Newell,Newell,9.836363821,33,3600,ATL@MEM,ATL,MEM,,,,,,PF,
125853-188442,SF,Jalen,Jalen Wilson,Wilson,8.217857361,28,3600,BKN@NY,BKN,NY,,,,,,SF,
125853-228129,SF/SG,Hugo,Hugo Gonzalez,Gonzalez,10.80540508,37,3600,IND@BOS,BOS,IND,,,,,,SG/SF,
125853-228159,PG,Tyrese,Tyrese Proctor,Proctor,8.71333313,30,3600,CLE@CHA,CLE,CHA,,,,,,PG,
125853-228160,PG,Taelon,Taelon Peter,Peter,4.70909084,22,3600,IND@BOS,IND,BOS,,,,,,PG,
125853-228167,SF,Mohamed,Mohamed Diawara,Diawara,4.365714373,35,3600,BKN@NY,NY,BKN,,,,,,SF,
125853-179828,PG,Keaton,Keaton Wallace,Wallace,10.57500034,36,3600,ATL@MEM,ATL,MEM,,,,,,PG,
125853-70823,PF,Guerschon,Guerschon Yabusele,Yabusele,6.447222392,36,3600,BKN@NY,NY,BKN,,,,,,PF,
125853-145325,SG/SF,Josh,Josh Green,Green,9.342105263,19,3600,CLE@CHA,CHA,CLE,,,,,,SG/SF,
125853-80823,C,Tony,Tony Bradley,Bradley,8.966666328,36,3600,IND@BOS,IND,BOS,,,,,,C,
125853-161490,SG,Ethan,Ethan Thompson,Thompson,10.42105263,19,3600,IND@BOS,IND,BOS,,,,,,SG,
125853-110318,PF,Grant,Grant Williams,Williams,13.14999962,4,3600,CLE@CHA,CHA,CLE,,,,,,PF,
125853-171778,SF,Wendell,Wendell Moore,Moore,7.766666412,3,3500,DET@NO,DET,NO,,,,,,SF,
125853-171783,PF,E.J.,E.J. Liddell,Liddell,3.099999905,8,3500,BKN@NY,BKN,NY,,,,,,PF,
125853-203782,SG,Antonio,Antonio Reeves,Reeves,5.5,6,3500,CLE@CHA,CHA,CLE,,,,,,SG,
125853-203787,C,Ariel,Ariel Hukporti,Hukporti,7.446428571,28,3500,BKN@NY,NY,BKN,,,,,,C,
125853-188424,PF,Olivier-Maxence,Olivier-Maxence Prosper,Prosper,8.725,20,3500,ATL@MEM,MEM,ATL,,,,,,PF,
125853-203785,PF,Isaac,Isaac Jones,Jones,2.224999905,4,3500,DET@NO,DET,NO,,,,,,PF,
125853-203791,SF,Nikola,Nikola Durisic,Durisic,,0,3500,ATL@MEM,ATL,MEM,,,,,,SF,
125853-203788,SF,Kevin,Kevin McCullar,McCullar,6.541666667,12,3500,BKN@NY,NY,BKN,,,,,,SF,
125853-171798,SF,Luke,Luke Travers,Travers,8.358333588,12,3500,CLE@CHA,CLE,CHA,,,,,,SF,
125853-228134,SF,Liam,Liam McNeeley,McNeeley,8.603703817,27,3500,CLE@CHA,CHA,CLE,,,,,,SF,
125853-203813,PF,Bobi,Bobi Klintman,Klintman,7.200000127,6,3500,DET@NO,DET,NO,,,,,,PF,
125853-228145,SG,Chaz,Chaz Lanier,Lanier,6.4375,16,3500,DET@NO,DET,NO,,,,,,SG,
125853-188465,SF,Chris,Chris Livingston,Livingston,5.700000127,3,3500,CLE@CHA,CLE,CHA,,,,,,SF,
125853-228151,SG,Jahmai,Jahmai Mashack,Mashack,2.142857143,7,3500,ATL@MEM,MEM,ATL,,,,,,SG,
125853-228154,PG,Max,Max Shulga,Shulga,,0,3500,IND@BOS,BOS,IND,,,,,,PG,
125853-228153,C,Amari,Amari Williams,Williams,5.028571538,7,3500,IND@BOS,BOS,IND,,,,,,C,
125853-172097,PG,Tyson,Tyson Etienne,Etienne,1.5625,8,3500,BKN@NY,BKN,NY,,,,,,PG,
125853-228168,PG,Javon,Javon Small,Small,10.92857143,14,3500,ATL@MEM,MEM,ATL,,,,,,PG,
125853-228178,C,Hunter,Hunter Dickinson,Dickinson,3,1,3500,DET@NO,NO,DET,,,,,,C,
125853-9561,C,DeAndre,DeAndre Jordan,Jordan,10,2,3500,DET@NO,NO,DET,,,,,,C,
125853-195937,C,Trey,Trey Jemison,Jemison,3.916666667,6,3500,BKN@NY,NY,BKN,,,,,,C,
125853-233066,SF,Chaney,Chaney Johnson,Johnson,,0,3500,BKN@NY,BKN,NY,,,,,,SF,
125853-68203,C,Chris,Chris Boucher,Boucher,9.887499809,8,3500,IND@BOS,BOS,IND,,,,,,C,
125853-15993,SG,Pat,Pat Connaughton,Connaughton,6.480000305,20,3500,CLE@CHA,CHA,CLE,,,,,,SG,
125853-171660,SF,Ron,Ron Harper,Harper,6.440000153,5,3500,IND@BOS,BOS,IND,,,,,,SF,
125853-204448,SG,Trey,Trey Alexander,Alexander,6.259999847,5,3500,DET@NO,NO,DET,,,,,,SG,
125853-145336,C,Xavier,Xavier Tillman,Tillman,6.730769231,13,3500,IND@BOS,BOS,IND,,,,,,C,
125853-58576,C,Kevon,Kevon Looney,Looney,13.09375,16,3500,DET@NO,NO,DET,,,,,,C,
125853-213226,PG,RayJ,RayJ Dennis,Dennis,9.706667074,15,3500,ATL@MEM,ATL,MEM,,,,,,PG,
125853-203760,SF,Pacome,Pacome Dadiet,Dadiet,2.217647104,17,3500,BKN@NY,NY,BKN,,,,,,SF,
125853-171771,SF,Caleb,Caleb Houstan,Houstan,3.4,10,3500,ATL@MEM,ATL,MEM,,,,,,SF,
125853-171775,C,Christian,Christian Koloko,Koloko,12.30769231,13,3500,ATL@MEM,ATL,MEM,,,,,,C,
