Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,Roster Position,
126408-145322,C/PF,Jalen,Jalen Smith,Smith,22.935714,42,6500,CHI@TOR,CHI,TOR,,,,,,PF/C
126408-203778,PF/C,Kyle,Kyle Filipowski,Filipowski,22.63800049,50,6700,UTA@ATL,UTA,ATL,,,,,,PF/C
126408-84704,SF/SG,Kevin,Kevin Huerter,Huerter,22.49545427,44,5200,WAS@DET,DET,WAS,,,,,,SG/SF
126408-157839,C,Day'Ron,Day'Ron Sharpe,Sharpe,22.44042449,47,4900,BKN@ORL,BKN,ORL,,,,,,C
126408-213225,PG,Yuki,Yuki Kawamura,Kawamura,22.43333435,3,3800,CHI@TOR,CHI,TOR,,,,,,PG
126408-228147,C,Ryan,Ryan Kalkbrenner,Kalkbrenner,22.09230707,39,4200,CHA@HOU,CHA,HOU,,,,,,C
126408-228126,SG/PG,Dylan,Dylan Harper,Harper,22.05384553,39,4800,SA@DAL,SA,DAL,Q,Ankle,,,,PG/SG
126408-110325,C,Daniel,Daniel Gafford,Gafford,21.95882281,34,4900,SA@DAL,DAL,SA,Q,Ankle,,,,C
126408-171751,SF/SG,Max,Max Christie,Christie,21.92173966,46,4700,SA@DAL,DAL,SA,,,,,,SG/SF
126408-84679,C,Marvin,Marvin Bagley,Bagley,21.71578979,38,4300,SA@DAL,DAL,SA,D,Not injury related,,,,C
126408-203721,PG,Bub,Bub Carrington,Carrington,21.56122449,49,5100,WAS@DET,WAS,DET,,,,,,PG
126408-84717,SG/PG,Anfernee,Anfernee Simons,Simons,21.50204032,49,5000,CHI@TOR,CHI,TOR,D,Not injury related,,,,PG/SG
126408-16261,SG/SF,Khris,Khris Middleton,Middleton,21.36176435,34,4600,SA@DAL,DAL,SA,D,Not injury related,,,,SG/SF
126408-23169,C,Steven,Steven Adams,Adams,21.28750038,32,3500,CHA@HOU,HOU,CHA,O,Ankle,,,,C
126408-171756,SG/PG,Vince,Vince Williams,Williams,21.22647095,34,4100,UTA@ATL,UTA,ATL,O,Not injury related,,,,PG/SG
126408-157838,SG/PG,Cam,Cam Thomas,Thomas,21.15000025,24,4300,BKN@ORL,BKN,ORL,,,,,,PG/SG
